"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.94523394506244e-32,1.11836774625668,0.581,0.181,1.0779850762323e-27,"Dendritic cells","YBX3"
3.00174861611844e-32,1.28809031818709,0.358,0.08,1.09867001098551e-27,"Dendritic cells","DNTTIP1"
3.19644074647387e-32,0.702857180125704,0.439,0.15,1.1699292776169e-27,"Dendritic cells","RGS19"
3.26204652181568e-32,0.761293591269048,0.554,0.205,1.19394164744976e-27,"Dendritic cells","ATP5PB"
3.35769480849083e-32,0.372715239960406,0.439,0.179,1.22894987685573e-27,"Dendritic cells","CCT5"
3.42428889725648e-32,0.526999645156818,0.432,0.155,1.25332397928484e-27,"Dendritic cells","MTPN"
3.83222963147501e-32,0.509460820262411,0.689,0.321,1.40263436741617e-27,"Dendritic cells","CEBPB"
3.99653888141568e-32,0.555235455715263,0.581,0.237,1.46277319598695e-27,"Dendritic cells","AKIRIN2"
4.24737094723016e-32,0.384009303765567,0.405,0.158,1.55458024039571e-27,"Dendritic cells","PUF60"
4.28661242787852e-32,0.785225546055878,0.959,0.519,1.56894301472782e-27,"Dendritic cells","ITGB2"
4.40311065374596e-32,0.448880470719528,0.784,0.359,1.61158253037756e-27,"Dendritic cells","FCN1"
4.45099348914375e-32,0.814499030985261,0.682,0.271,1.6291081269615e-27,"Dendritic cells","SERPINB1"
4.52321996090773e-32,0.395045838974831,0.541,0.231,1.65554373789184e-27,"Dendritic cells","HMGN3"
4.89292438656203e-32,0.797655427560223,0.845,0.396,1.79085925472557e-27,"Dendritic cells","RBM3"
5.00520128196225e-32,0.506179179044394,0.838,0.428,1.831953721211e-27,"Dendritic cells","UQCRB"
5.11972053320046e-32,0.399741803759422,0.432,0.169,1.8738689123567e-27,"Dendritic cells","MRPL20"
5.21905566224489e-32,0.769944489628853,0.405,0.12,1.91022656293825e-27,"Dendritic cells","CD300A"
5.56191791005628e-32,0.551256678669714,0.52,0.204,2.0357175742597e-27,"Dendritic cells","NDUFB1"
5.83950798542392e-32,1.1762947462587,0.527,0.149,2.13731831774501e-27,"Dendritic cells","AUTS2"
6.54315058234067e-32,0.576934499867482,0.676,0.302,2.39485854464251e-27,"Dendritic cells","TLN1"
6.6216762380997e-32,0.981708032111239,0.358,0.097,2.42359971990687e-27,"Dendritic cells","TXN2"
7.30363525525035e-32,0.576742467368036,0.372,0.119,2.67320353977418e-27,"Dendritic cells","AP2A1"
7.36561030001023e-32,0.306323833825455,0.601,0.257,2.69588702590674e-27,"Dendritic cells","SIPA1L3"
7.48656995922595e-32,0.510565782057425,0.48,0.185,2.74015947077629e-27,"Dendritic cells","FIS1"
7.82881687060707e-32,0.614217054041732,0.432,0.149,2.86542526281089e-27,"Dendritic cells","SNRPE"
7.84909979344484e-32,1.36128462956091,0.365,0.079,2.87284901539875e-27,"Dendritic cells","CYFIP1"
7.88316890142781e-32,0.399444035498276,0.568,0.249,2.88531864961159e-27,"Dendritic cells","PET100"
7.96169322259546e-32,0.258522306754191,0.473,0.209,2.91405933640217e-27,"Dendritic cells","GABARAPL2"
8.30912601002726e-32,2.09510837035202,0.318,0.045,3.04122321093008e-27,"Dendritic cells","CD163"
9.77469203361845e-32,1.63846118721267,0.27,0.042,3.57763503122469e-27,"Dendritic cells","AIMP2"
1.01471286014465e-31,1.56269759159748,0.257,0.037,3.71395053941544e-27,"Dendritic cells","RPL26L1"
1.05072363503389e-31,1.98971149861452,0.284,0.041,3.84575357658754e-27,"Dendritic cells","PEA15"
1.11660605251731e-31,0.801821564340727,1,0.875,4.08688981281862e-27,"Dendritic cells","RPL23"
1.15232452688881e-31,0.742536686702259,0.372,0.109,4.21762300086574e-27,"Dendritic cells","CEP83"
1.19101919950694e-31,1.18742184039331,0.338,0.077,4.35924937211536e-27,"Dendritic cells","CIAO2A"
1.33961047022247e-31,0.559538839442392,0.514,0.199,4.90310828206125e-27,"Dendritic cells","UQCRQ"
1.46997853073575e-31,1.79880960570151,0.304,0.047,5.38026842034594e-27,"Dendritic cells","DDAH2"
1.64806276085387e-31,0.58442005596927,0.453,0.172,6.03207451100124e-27,"Dendritic cells","MRFAP1"
1.70574363556194e-31,1.17144903337611,0.284,0.055,6.24319228052024e-27,"Dendritic cells","SNX8"
1.8281064565492e-31,0.302315150873885,0.399,0.153,6.69105244161574e-27,"Dendritic cells","RSL1D1"
1.90914954545777e-31,0.826476503643344,0.507,0.174,6.98767825132997e-27,"Dendritic cells","NCOA4"
1.99931132494928e-31,0.591543278676981,0.905,0.483,7.31767938044686e-27,"Dendritic cells","BTF3"
2.12410380351174e-31,0.772041648555133,0.527,0.19,7.7744323312333e-27,"Dendritic cells","GABARAPL1"
2.15664112928288e-31,1.07364894221955,0.345,0.087,7.89352219728826e-27,"Dendritic cells","PDHB"
2.33906063403689e-31,0.652581879776376,0.453,0.158,8.56119582663843e-27,"Dendritic cells","CYSTM1"
2.62216304345715e-31,1.0732671569949,0.507,0.155,9.5973789553575e-27,"Dendritic cells","TIMP2"
2.82244956943819e-31,0.652054392324523,0.507,0.191,1.03304476691007e-26,"Dendritic cells","PLEKHB2"
3.0074649714875e-31,0.367081462481226,0.777,0.411,1.10076225421414e-26,"Dendritic cells","EDF1"
3.10293069310606e-31,0.829495988937291,0.5,0.172,1.13570366298375e-26,"Dendritic cells","ALKBH7"
3.18333464282541e-31,0.665091498607347,0.412,0.14,1.16513231262053e-26,"Dendritic cells","GADD45GIP1"
3.22385756230857e-31,0.316282413840656,0.405,0.165,1.17996410638056e-26,"Dendritic cells","OGFR"
3.31701795689706e-31,0.363089954198186,0.655,0.32,1.21406174240389e-26,"Dendritic cells","EIF3G"
3.35777298556019e-31,0.298119337527754,0.439,0.18,1.22897849044488e-26,"Dendritic cells","ENY2"
3.60582763690658e-31,0.637382842685134,0.378,0.12,1.31976897338418e-26,"Dendritic cells","SUCLG1"
